timestamp,client_id,msg_id,qos,topic_id,addr_ip,addr_port,temp,hum,gas,gas_valid,power,raw_payload
2026-09-22T20:04:31,ESP32-Standard-MQTT,0,1,1,10.144.246.14,1883,30.62,55.18,37.73,True,,"{""temp"":30.62,""hum"":55.18,""gas"":37.73,""qos"":1,""sleep_r"":0.000}"
2026-09-22T20:04:52,ESP32-Gingerbre,1,1,1,10.144.246.228,5000,31.11,54.48,37.31,True,,"{""temp"":31.11,""hum"":54.48,""gas"":37.31,""battery"":100,""mode"":""WARNING(rule)"",""qos"":1,""nn"":-1.000,""sleep_r"":0.000}"
2026-09-22T20:05:25,ESP32-Gingerbre,3,1,1,10.144.246.228,5000,30.64,54.03,42.67,True,,"{""temp"":30.64,""hum"":54.03,""gas"":42.67,""battery"":100,""mode"":""WARNING(rule)"",""qos"":1,""nn"":-1.000,""sleep_r"":0.903}"
2026-09-22T20:05:33,ESP32-Standard-MQTT,0,1,1,10.144.246.14,1883,30.63,54.85,51.94,True,,"{""temp"":30.63,""hum"":54.85,""gas"":51.94,""qos"":1,""sleep_r"":0.960}"
2026-09-22T20:05:59,ESP32-Gingerbre,5,1,1,10.144.246.228,5000,30.58,54.15,49.0,True,,"{""temp"":30.58,""hum"":54.15,""gas"":49.00,""battery"":100,""mode"":""WARNING(rule)"",""qos"":1,""nn"":-1.000,""sleep_r"":0.902}"
2026-09-22T20:06:32,ESP32-Gingerbre,7,1,1,10.144.246.228,5000,30.57,54.15,53.58,True,,"{""temp"":30.57,""hum"":54.15,""gas"":53.58,""battery"":100,""mode"":""WARNING(rule)"",""qos"":1,""nn"":-1.000,""sleep_r"":0.902}"
2026-09-22T20:06:36,ESP32-Standard-MQTT,0,1,1,10.144.246.14,1883,30.38,54.54,56.88,True,,"{""temp"":30.38,""hum"":54.54,""gas"":56.88,""qos"":1,""sleep_r"":0.963}"
2026-09-22T20:07:05,ESP32-Gingerbre,9,1,1,10.144.246.228,5000,30.55,54.19,57.47,True,,"{""temp"":30.55,""hum"":54.19,""gas"":57.47,""battery"":100,""mode"":""WARNING(rule)"",""qos"":1,""nn"":-1.000,""sleep_r"":0.903}"
2026-09-22T20:07:38,ESP32-Gingerbre,11,1,1,10.144.246.228,5000,30.58,54.22,61.79,True,,"{""temp"":30.58,""hum"":54.22,""gas"":61.79,""battery"":100,""mode"":""WARNING(rule)"",""qos"":1,""nn"":-1.000,""sleep_r"":0.903}"
2026-09-22T20:07:40,ESP32-Standard-MQTT,0,1,1,10.144.246.14,1883,31.43,54.13,79.29,True,,"{""temp"":31.43,""hum"":54.13,""gas"":79.29,""qos"":1,""sleep_r"":0.000}"
2026-09-22T20:08:11,ESP32-Gingerbre,13,1,1,10.144.246.228,5000,30.57,54.42,64.02,True,,"{""temp"":30.57,""hum"":54.42,""gas"":64.02,""battery"":100,""mode"":""WARNING(rule)"",""qos"":1,""nn"":-1.000,""sleep_r"":0.904}"
2026-09-22T20:08:51,ESP32-Standard-MQTT,0,1,1,10.144.246.14,1883,30.64,54.6,70.24,True,,"{""temp"":30.64,""hum"":54.60,""gas"":70.24,""qos"":1,""sleep_r"":0.000}"
2026-09-22T20:08:52,ESP32-Gingerbre,15,1,1,10.144.246.228,5000,30.33,54.67,59.87,True,,"{""temp"":30.33,""hum"":54.67,""gas"":59.87,""battery"":100,""mode"":""WARNING(rule)"",""qos"":1,""nn"":-1.000,""sleep_r"":0.904}"
2026-09-22T20:08:54,ESP32-Gingerbre,15,1,1,10.144.246.228,5000,30.33,54.67,59.87,True,,"{""temp"":30.33,""hum"":54.67,""gas"":59.87,""battery"":100,""mode"":""WARNING(rule)"",""qos"":1,""nn"":-1.000,""sleep_r"":0.904}"
2026-09-22T20:09:55,ESP32-Standard-MQTT,0,1,1,10.144.246.14,1883,31.18,54.08,91.8,True,,"{""temp"":31.18,""hum"":54.08,""gas"":91.80,""qos"":1,""sleep_r"":0.000}"
2026-09-22T20:10:13,ESP32-Gingerbre,18,1,1,10.144.246.228,5000,30.17,54.95,66.27,True,,"{""temp"":30.17,""hum"":54.95,""gas"":66.27,""battery"":100,""mode"":""WARNING(rule)"",""qos"":1,""nn"":-1.000,""sleep_r"":0.842}"
2026-09-22T20:10:47,ESP32-Gingerbre,20,1,1,10.144.246.228,5000,30.05,54.97,71.08,True,,"{""temp"":30.05,""hum"":54.97,""gas"":71.08,""battery"":100,""mode"":""WARNING(rule)"",""qos"":1,""nn"":-1.000,""sleep_r"":0.848}"
2026-09-22T20:10:57,ESP32-Standard-MQTT,0,1,1,10.144.246.14,1883,30.1,55.33,85.17,True,,"{""temp"":30.10,""hum"":55.33,""gas"":85.17,""qos"":1,""sleep_r"":0.959}"
